Дата,Открытие,Закрытие,Мин,Макс,
18.09.2018,110150,110130,110130,110150,
18.09.2018,110130,110140,110110,110140,
18.09.2018,110140,110160,110120,110190,
18.09.2018,110170,110180,110170,110220,
18.09.2018,110190,110190,110190,110200,
18.09.2018,110200,110240,110200,110250,
18.09.2018,110210,110250,110190,110250,
18.09.2018,110250,110250,110250,110250,
18.09.2018,110240,110240,110240,110240,
18.09.2018,110250,110270,110240,110280,
18.09.2018,110250,110250,110250,110290,
18.09.2018,110280,110280,110280,110280,
18.09.2018,110270,110290,110270,110290,
18.09.2018,110270,110270,110270,110300,
18.09.2018,110260,110250,110250,110260,
18.09.2018,110250,110230,110230,110280,
18.09.2018,110240,110240,110240,110240,
18.09.2018,110270,110260,110260,110290,
18.09.2018,110300,110300,110300,110320,
18.09.2018,110300,110270,110270,110320,
18.09.2018,110300,110350,110300,110350,
18.09.2018,110350,110310,110310,110350,
18.09.2018,110310,110330,110310,110350,
18.09.2018,110340,110340,110340,110340,
18.09.2018,110340,110340,110340,110340,
18.09.2018,110350,110350,110330,110350,
18.09.2018,110350,110350,110350,110350,
18.09.2018,110350,110330,110330,110350,
18.09.2018,110340,110320,110320,110340,
18.09.2018,110330,110330,110320,110350,
18.09.2018,110360,110360,110360,110360,
18.09.2018,110360,110350,110350,110360,
18.09.2018,110330,110330,110330,110330,
18.09.2018,110360,110360,110360,110360,
18.09.2018,110360,110340,110340,110370,
18.09.2018,110370,110370,110370,110370,
18.09.2018,110370,110400,110360,110400,
18.09.2018,110370,110370,110370,110370,
18.09.2018,110390,110390,110390,110390,
18.09.2018,110390,110390,110390,110390,
18.09.2018,110370,110390,110370,110390,
18.09.2018,110390,110400,110390,110410,
18.09.2018,110370,110370,110370,110370,
18.09.2018,110370,110370,110370,110370,
18.09.2018,110350,110350,110350,110350,
18.09.2018,110360,110340,110330,110370,
18.09.2018,110340,110330,110330,110340,
18.09.2018,110330,110330,110330,110330,
18.09.2018,110360,110360,110360,110370,
18.09.2018,110370,110380,110360,110390,
18.09.2018,110380,110370,110370,110380,
18.09.2018,110360,110370,110350,110370,
18.09.2018,110370,110370,110370,110370,
18.09.2018,110350,110340,110340,110350,
18.09.2018,110350,110350,110350,110350,
18.09.2018,110330,110330,110330,110330,
18.09.2018,110350,110350,110340,110360,
18.09.2018,110340,110330,110310,110340,
18.09.2018,110320,110310,110310,110320,
18.09.2018,110310,110300,110290,110320,
18.09.2018,110320,110290,110290,110320,
18.09.2018,110300,110290,110290,110310,
18.09.2018,110320,110310,110310,110320,
18.09.2018,110320,110290,110290,110320,
18.09.2018,110290,110290,110290,110290,
18.09.2018,110300,110270,110270,110300,
18.09.2018,110280,110280,110280,110300,
18.09.2018,110290,110290,110260,110290,
18.09.2018,110290,110290,110260,110290,
18.09.2018,110260,110260,110260,110260,
18.09.2018,110260,110260,110260,110260,
18.09.2018,110250,110240,110230,110250,
18.09.2018,110270,110240,110240,110280,
18.09.2018,110280,110210,110060,110280,
